views,uploader,county_code
75,,1001
145,1,1001
555,,1003
796,1,1003
50,1,1005
26,,1005
19,1,1007
3,,1007
65,1,1009
32,,1009
19,1,1011
4,,1011
33,1,1013
15,,1013
258,1,1015
200,,1015
83,1,1017
43,,1017
41,1,1019
29,,1019
29,1,1021
42,,1021
18,,1023
23,1,1023
7,1,1025
3,,1025
2,1,1027
2,,1027
4,1,1029
224,1,1031
134,,1031
31,,1033
107,1,1033
2,1,1035
2,,1035
71,1,1039
28,,1039
7,1,1041
3,,1041
162,1,1043
67,,1043
156,1,1045
124,,1045
34,1,1047
17,,1047
160,1,1049
80,,1049
221,1,1051
114,,1051
57,1,1053
40,,1053
149,1,1055
77,,1055
9,,1057
19,1,1057
6,1,1059
1,,1059
28,1,1061
15,,1061
4,,1065
8,1,1065
5,1,1067
5,,1067
616,1,1069
262,,1069
89,1,1071
27,,1071
1554,,1073
4255,1,1073
4,,1075
2,1,1075
181,1,1077
87,,1077
7,1,1079
12,,1079
763,1,1081
299,,1081
113,,1083
247,1,1083
1,,1085
33,1,1087
12,,1087
1900,1,1089
807,,1089
15,,1091
12,1,1091
88,1,1093
49,,1093
336,1,1095
197,,1095
1063,1,1097
462,,1097
66,1,1099
38,,1099
1118,1,1101
430,,1101
385,1,1103
190,,1103
2,1,1105
1,,1105
6,,1107
6,1,1107
74,1,1109
37,,1109
6,1,1111
76,,1113
132,1,1113
97,,1115
140,1,1115
594,1,1117
273,,1117
9,1,1119
97,1,1121
91,,1121
83,1,1123
55,,1123
316,,1125
680,1,1125
74,,1127
116,1,1127
6,1,1129
9,,1129
56,1,1133
44,,1133
3,1,2016
2278,1,2020
809,,2020
30,1,2050
2,,2050
1,,2060
10,1,2068
2,,2068
1,,2070
386,1,2090
122,,2090
11,1,2100
1,,2100
452,1,2110
98,,2110
163,1,2122
56,,2122
91,1,2130
25,,2130
30,1,2150
13,,2150
259,,2170
545,1,2170
25,1,2180
6,,2180
11,,2185
11,1,2185
53,1,2220
8,,2220
38,1,2232
6,,2232
2,1,2240
4,,2240
49,1,2261
12,,2261
13,1,2280
3,,2280
68,1,4001
19,,4001
410,1,4003
180,,4003
815,1,4005
195,,4005
145,1,4007
78,,4007
59,1,4009
23,,4009
7,,4011
28,1,4011
44,1,4012
19,,4012
26344,1,4013
11239,,4013
773,1,4015
546,,4015
328,1,4017
188,,4017
6411,1,4019
2006,,4019
408,,4021
795,1,4021
158,1,4023
71,,4023
1066,1,4025
443,,4025
434,1,4027
236,,4027
17,1,5001
7,,5001
2,,5003
11,1,5003
278,1,5005
155,,5005
888,1,5007
440,,5007
122,1,5009
47,,5009
6,,5011
3,1,5011
3,1,5013
76,1,5015
33,,5015
6,1,5017
4,,5017
51,1,5019
23,,5019
12,,5021
6,1,5021
47,1,5023
32,,5023
29,1,5027
156,,5027
10,1,5029
5,,5029
207,,5031
330,1,5031
90,1,5033
81,,5033
42,1,5035
17,,5035
8,,5037
18,1,5037
1,1,5039
11,,5041
22,1,5041
13,,5043
35,1,5043
509,1,5045
255,,5045
64,1,5047
55,,5047
20,1,5049
18,,5049
379,1,5051
198,,5051
92,1,5053
79,,5053
78,1,5055
34,,5055
6,,5057
23,1,5057
39,1,5059
24,,5059
2,,5061
4,1,5061
52,1,5063
23,,5063
10,,5065
23,1,5067
36,,5067
138,1,5069
26,,5069
64,1,5071
23,,5071
10,1,5075
13,,5075
2,1,5077
1,1,5079
1,,5079
9,1,5081
9,,5081
19,1,5083
14,,5083
141,,5085
457,1,5085
8,1,5087
2,,5087
27,1,5089
7,,5089
61,1,5091
49,,5091
71,1,5093
49,,5093
1,1,5095
1,,5095
2,,5097
3,,5099
10,1,5099
44,1,5101
23,,5101
59,1,5103
8,,5103
4,1,5105
7,,5105
22,1,5107
10,,5107
4,1,5109
2,,5109
22,1,5111
12,,5111
12,1,5113
5,,5113
307,1,5115
107,,5115
1852,1,5119
870,,5119
17,1,5121
6,,5121
7,1,5123
31,,5123
98,,5125
201,1,5125
1,1,5127
8,,5127
278,,5131
400,1,5131
40,1,5133
50,,5133
17,1,5135
11,,5135
42,1,5137
19,,5137
44,,5139
73,1,5139
33,1,5141
20,,5141
1373,1,5143
447,,5143
65,,5145
136,1,5145
1,,5147
9,,5149
35,1,5149
12717,1,6001
2806,,6001
37,,6005
43,1,6005
816,1,6007
365,,6007
255,1,6009
