"external_video_id","video_shortened_id","title"
"-GzGAW7k2V8",843,"""44 boys is too many!"" Little girls write letters to Hillary Clinton | Hillary Clinton"
"-oDdpuR1au8",1779,"Hail to the Chief: Foreign Policy Advisers | Hillary Clinton"
"-ORF0m3aEl0",885,"300 | Hillary Clinton"
"0ex510nLLXY",1995,"In Trumps Words | Hillary Clinton"
"0O-UirV_cTM",2537,"Shamed & Blamed | Hillary Clinton"
"0uY7gLZDmn4",1742,"Getting Started"
"111MTs7MGuw",2407,"Real Life | Hillary Clinton"
"1iDRu2q2cRw",930,"All The Good SC | Hillary Clinton"
"1KI_DorjrpE",2190,"Mean Tweets, Campaign Edition with Senator Al Franken | Hillary Clinton"
"1PCKRFEwcI8",1802,"Her Fight | Hillary Clinton"
"2GHBBUrWpf4",1474,"FORMER STUDENTS SPEAK OUT IN SUPPORT OF TRUMP UNIVERSITY"
"3FITPKRwaVw",1177,"Creator Town Hall with Hillary Clinton | Hillary Clinton"
"4q2oLn8Bmfo",1463,"Everything | Hillary Clinton"
"5Zx9-hj54fw",2222,"My Mom | Hillary Clinton"
"6SuSUWprwzQ",1094,"Campaign Strategy Update | State of the Race with Robby Mook | Hillary Clinton"
"75x6nb5NqYM",1791,"Have you ever won a drinking competition? | Quick Question | Hillary Clinton"
"8QFSXdvHD14",2269,"Olivia | Hillary Clinton"
"9QUYQUd0Qh8",1757,"Grace"
"9t54Ly_mvuk",2419,"Rebuilding America Now New TV Ad: Hillary Clinton: More of the Same"
"a3XBHMGctN0",2896,"Trump's America"
"axN-hs4slpY",1053,"Brave | Hillary Clinton"
"aZ891SoIsdQ",3050,"Who We Are | Hillary Clinton"
"b-dwobZGirc",1928,"History Made | Hillary Clinton"
"BFNC5Alx8u8",904,"A Leader"
"BFNoxOD1JwI",2906,"Trump-Pence Ticket - Together we will Make America Great Again!"
"BFQmhGrdxxE",1655,"Get Ahead | Hillary Clinton"
"CA5ZhyoaJec",2610,"Stronger Together | Hillary Clinton"
"CDFhwWy0a2E",1998,"Incredible | Hillary Clinton"
"CQt4KxUmnzw",1850,"Hillary Clinton speech in San Diego, CA on June 2, 2016 | Hillary Clinton"
"CWS21zYx6J8",1834,"Hillary Clinton answers a rabbi's question on ambition and humility | Hillary Clinton"
"dEUW_dex35w",1255,"Dead Broke"
"DkOFqsxlfyU",900,"A Different Morning In America"
"E-p9ol89dQg",2033,"Ivanka Trump - How to Caucus Nevada"
"ET6ml9Ds70Q",2652,"Tested | Hillary Clinton"
"fBe2lj88N34",2219,"My Dad - Donald J. Trump Jr."
"FCcLW33ZAmA",1865,"Hillary Clinton: Smart leadership for the 21st Century | Hillary Clinton"
"fcqx1CGex1A",2693,"The Enemy"
"fGPC5tKDPkg",1340,"Donald Trump Lying to the Entirety of Mozart’s Symphony No. 41"
"FmlzOh-1KJA",2554,"Sick of it | Hillary Clinton"
"fxDAyUiXphg",1325,"Donald Trump ALS Ice Bucket Challenge"
"GCso--nVeqI",2759,"The Same | Hillary Clinton"
"GHp69F7vrLU",2152,"Love and Kindness | Hillary Clinton"
"gOK4i35BcXA",2422,"Rebuilding America Now: It Takes Two"
"gq-i8fTlExs",1140,"Clear Difference"
"GsxbCplcfHI",1134,"Children | Hillary Clinton"
"HatdngbixcM",2769,"The Shows | Hillary Clinton"
"hqT2Pxn3bv8",2772,"The Speech"
"hYl69PAeN-4",2570,"Stand | Hillary Clinton"
"I1PsOZ4YUx4",1727,"Get Out to Caucus - Wisconsin"
"IhlKnvBWeZ8",1830,"Hillary Clinton and Amy Poehler Discuss A Leslie Knope Presidency | Hillary Clinton"
"IkeLYDZdPSc",2441,"Respect"
"izF6Jhj5xus",1934,"How To | Hillary Clinton"
"JchvlVMCLno",1434,"Easy as 1, 2, 3 | Hillary Clinton"
"JekzM26TF3Q",2561,"Speak"
"Jh4ozFGR4uQ",1298,"Donald J. Trump Is The Only President Who Can Fix America"
"jHiLFECJWXc",1284,"Donald J. Trump 360 Video New York Primary Victory Speech 2016"
"JprnzR9KsVo",1738,"Get Out to Vote - Ohio"
"k6vMGqX58Ww",1318,"Donald Trump ""Respects"" Women..."
"K7Dn-4LDUw4",2809,"Together | Hillary Clinton"
"KCjU6by8F28",2319,"Paygap | Hillary Clinton"
"KZO8o8YuBOY",1833,"Hillary Clinton answers a question about bullying | Hillary Clinton"
"LbVW9CPawyE",868,"1 4"
"LkJ9I4MPhTw",1787,"Happy Veterans Day | Hillary Clinton"
"lY3Z0drr_HM",1770,"Greater Women"
"l_GYGsIpP54",1490,"Fighter"
"mrX3Ql31URA",2456,"Role Models | Hillary Clinton"
"mwdOmwvfg94",892,"8 Million Children | Hillary Clinton"
"NkaNHYxlVhY",2868,"Trump Rallies Mobs, and the GOP Follows"
"nRw_lwKUCMw",2787,"The fight for LGBT equality is not over | Hillary Clinton"
"NUHMGCS-_Ao",2516,"Send It In | Hillary Clinton"
"oeYKFRV34kY",1167,"Confessions of a Republican | Hillary Clinton"
"OgNP3g1Lwss",987,"Behind the scenes look backstage at the Democratic Convention in Philadelphia | Hillary Clinton"
"oxNZ14u7DV8",2761,"The Same | Hillary Clinton"
"P-aZpQE5bKM",880,"25 Years | Hillary Clinton"
"pQQy1bMchSc",1095,"Can you tell us a fun story about a world leader you've met? | Quick Question | Hillary Clinton"
"pzkw2tDIcLQ",1631,"GAP Concerned TV Ad"
"QfwhI5N95y8",1495,"Fighting For You | Hillary Clinton"
"QN5Mjfpngt8",1853,"Hillary Clinton thanks SEIU members for their endorsement | Hillary for Labor | Hillary Clinton"
"QqfsbQGPLAE",2877,"Trump University Truth"
"q_q61B-DyPk",1349,"Donald Trump Presidential Announcement Full Speech 6/16/15"
"S45P-CiNrv8",2793,"This House | Hillary Clinton"
"S9W0F2mz1jc",2354,"President Barack Obama endorses Hillary Clinton for president | Hillary Clinton"
"Skq2XkyJcIM",1793,"He Said, She Said | Hillary Clinton"
"sQ7543nJngk",1912,"Hillary's Message to Survivors of Sexual Assault | Hillary Clinton"
"SRG8t-528e4",1806,"Hillary Clinton Accused of Shouting"
"thi56OCkduA",1939,"How to Caucus Iowa"
"TX8AAUOGKSg",922,"Admit | Hillary Clinton"
"tYTuyKo3WTM",2686,"The Difference TV ad"
"UbEalLMQvOw",1965,"I'm With Him | Hillary Clinton"
"uDBHD7cKvhQ",2556,"Small Business President | Hillary Clinton"
"Udti3PS1ppQ",1653,"Gender Card | Hillary Clinton"
"uewbf1-BdtY",2770,"The Shows | Hillary Clinton"
"UqpQ4neS68g",2086,"Just One | Hillary Clinton"
"UZq3iCn2y74",567,"Mr. Trump's 757"
"VkLRSs2cNxQ",1448,"Energy Revolution"
"V_eTKSzoAUY",2014,"Is This Who We Want?"
"wl4anBMrg3A",1832,"Hillary Clinton answers a foreign policy question about Laos | Hillary Clinton"
"Wmzc0hvB-oY",2250,"New York | Hillary Clinton"
"WYBJZIfZYq8",2292,"Outsourcing"
"XuVLkFyWtUo",2816,"Transcripts"
"YN6q2-TWxm0",2070,"Job Killing Ted"
"z34qEzZNTYc",1990,"In A Trump Administration, America's Veterans Will Always Come First"
"_glCj3DcPJs",2351,"Predatory | Hillary Clinton"
"_Otk1FRbNR8",2025,"Ivanka Trump - Find Your Iowa Caucus Location"
"_pvirKqHy1g",1175,"Corrupt Marco - TV Spot"
